visibleEnergy,visiblePx,visiblePy,visiblePz,visiblePt,invMass,recoilMass,totalEnergy,mu1_E,mu1_px,mu1_py,mu1_pz,mu1_pt,mu1_charge,mu2_E,mu2_px,mu2_py,mu2_pz,mu2_pt,mu2_charge,dimuon_px,dimuon_py,dimuon_pz,dimuon_pt,missingEnergy,missingPx,missingPy,missingPz,met,source_file,process_id,event_weight,process_type,process_group
220.34883,8.85831,-37.509293,-10.276696,38.541103,84.76245,132.85405,104.06895,43.472424,17.872051,39.61635,-0.98759955,43.46108,-1.0,60.596523,-18.25303,-17.32288,-55.12415,25.164564,1.0,-0.38097954,22.293468,-56.111748,22.296724,29.651169,-8.85831,37.509293,10.276696,38.541103,402003,402003,0.00424266375,e2e2h,Inclusive Higgs
284.4676,6.360897,-8.941458,-52.04835,10.97318,91.19489,130.17978,107.73947,59.45164,-1.3459684,-31.519896,-50.390186,31.54862,-1.0,48.287827,17.127735,-22.479733,39.153614,28.26124,1.0,15.781767,-53.999626,-11.236572,56.258545,-34.46759,-6.360897,8.941458,52.04835,10.97318,402003,402003,0.00424266375,e2e2h,Inclusive Higgs
272.5194,-1.8214569,-3.332611,-11.162468,3.7978945,91.209526,124.74974,110.51336,63.825993,28.971798,18.956213,53.61943,34.62229,1.0,46.687366,2.243125,31.528708,-34.359978,31.6084,-1.0,31.214924,50.48492,19.259453,59.355698,-22.51941,1.8214569,3.332611,11.162468,3.7978945,402003,402003,0.00424266375,e2e2h,Inclusive Higgs
242.23743,0.592083,-1.9115524,-6.5525007,2.0011485,88.09292,126.60961,108.46074,71.08891,-12.672678,-42.892822,-55.25605,44.72573,1.0,37.371822,35.444927,3.4563942,11.32927,35.613052,-1.0,22.77225,-39.436428,-43.92678,45.539074,7.7625732,-0.592083,1.9115524,6.5525007,2.0011485,402003,402003,0.00424266375,e2e2h,Inclusive Higgs
242.46422,1.4160995,1.8087769,-3.7871113,2.2971747,89.87464,141.50475,101.10772,60.574963,-51.262856,11.846552,30.01822,52.613888,1.0,40.532757,35.52773,-14.099336,13.486384,38.22317,-1.0,-15.7351265,-2.2527838,43.504604,15.895573,7.535782,-1.4160995,-1.8087769,3.7871113,2.2971747,402003,402003,0.00424266375,e2e2h,Inclusive Higgs
217.16797,15.34639,3.0819016,16.449015,15.652789,89.71571,125.49263,109.60101,74.04563,56.21553,19.853462,43.91354,59.618336,-1.0,35.555386,-8.374983,-34.10589,-5.5517907,35.11911,1.0,47.840546,-14.252426,38.361748,49.918427,32.83203,-15.34639,-3.0819016,-16.449015,15.652789,402003,402003,0.00424266375,e2e2h,Inclusive Higgs
304.3103,3.278656,-2.9249992,39.050823,4.3937693,77.98171,137.81169,99.17818,77.01472,21.821787,72.38872,14.660774,75.60633,-1.0,22.163456,6.5379887,-20.979147,2.887504,21.9743,1.0,28.359776,51.40957,17.548279,58.713036,-54.310303,-3.278656,2.9249992,-39.050823,4.3937693,402003,402003,0.00424266375,e2e2h,Inclusive Higgs
178.82779,-16.26434,-38.94364,-16.683254,42.203506,94.85749,126.00544,111.24115,76.89122,-46.369564,-45.29279,41.360317,64.81954,-1.0,34.349926,2.2211199,8.393867,-33.234257,8.682763,1.0,-44.148445,-36.898922,8.1260605,57.53795,71.17221,16.26434,38.94364,16.683254,42.203506,402003,402003,0.00424266375,e2e2h,Inclusive Higgs
248.84453,0.6481266,8.0650425,-1.8344345,8.091043,91.526405,125.689064,110.15868,62.234688,-1.6566044,58.358376,-21.556925,58.38188,-1.0,47.923996,24.937174,-4.951361,40.624123,25.423977,1.0,23.28057,53.407013,19.067198,58.26057,1.1554718,-0.6481266,-8.0650425,1.8344345,8.091043,402003,402003,0.00424266375,e2e2h,Inclusive Higgs
265.9723,2.537754,-2.6344576,-7.0278625,3.657945,91.46911,132.36871,106.69025,44.265156,35.07696,15.866565,-21.846096,38.498585,-1.0,62.425087,4.657524,-17.567684,59.72072,18.174599,1.0,39.734486,-1.7011194,37.874622,39.77088,-15.97229,-2.537754,2.6344576,7.0278625,3.657945,402003,402003,0.00424266375,e2e2h,Inclusive Higgs
