ProducedRate,n_prod,n_gen,process_type,pol,processID,NbEvents,int.lumi(1/fb),Done %,ElogID(s),ProdIDs of DST and REC files
99.96%,6997400,7000000,e1e1h,eL.pL,402013,500000,801943,100.0,348,"DST=15095,15096;REC=15095"
99.96%,6997400,7000000,e1e1h,eL.pR,402001,500000,28294,100.0,347,"DST=15089,15090;REC=15089"
99.96%,6997400,7000000,e1e1h,eR.pL,402002,500000,44887,100.0,347,"DST=15089,15090;REC=15089"
99.96%,6997400,7000000,e1e1h,eR.pR,402014,498800,800018,99.8,348,"DST=15095,15096;REC=15095"
99.96%,6997400,7000000,e2e2h,eL.pR,402003,500000,29462,100.0,347,"DST=15089,15090;REC=15089"
99.96%,6997400,7000000,e2e2h,eR.pL,402004,500000,46001,100.0,347,"DST=15089,15090;REC=15089"
99.96%,6997400,7000000,e3e3h,eL.pR,402005,500000,29514,100.0,347,"DST=15089,15090;REC=15089"
99.96%,6997400,7000000,e3e3h,eR.pL,402006,500000,46110,100.0,347,"DST=15089,15090;REC=15089"
99.96%,6997400,7000000,n1n1h,eL.pR,402007,499600,8278,99.9,347,"DST=15089,15090;REC=15089"
99.96%,6997400,7000000,n1n1h,eR.pL,402008,499000,23248,99.8,347,"DST=15089,15090;REC=15089"
99.96%,6997400,7000000,n23n23h,eL.pR,402009,500000,7450,100.0,348,"DST=15095,15096;REC=15095"
99.96%,6997400,7000000,n23n23h,eR.pL,402010,500000,11647,100.0,348,"DST=15095,15096;REC=15095"
99.96%,6997400,7000000,qqh,eL.pR,402011,500000,1457,100.0,348,"DST=15095,15096;REC=15095"
99.96%,6997400,7000000,qqh,eR.pL,402012,500000,2278,100.0,348,"DST=15095,15096;REC=15095"
100.00%,33598600,33600000,e1e1h_aa,eL.pL,402124,100000,70655801,100.0,387,"DST=15212,15213;REC=15212"
100.00%,33598600,33600000,e1e1h_aa,eL.pR,402106,100000,2492877,100.0,387,"DST=15212,15213;REC=15212"
100.00%,33598600,33600000,e1e1h_aa,eR.pL,402115,100000,3954875,100.0,387,"DST=15212,15213;REC=15212"
100.00%,33598600,33600000,e1e1h_aa,eR.pR,402133,100000,70655801,100.0,387,"DST=15212,15213;REC=15212"
100.00%,33598600,33600000,e1e1h_az,eL.pL,402125,100000,104829195,100.0,387,"DST=15212,15213;REC=15212"
100.00%,33598600,33600000,e1e1h_az,eL.pR,402107,100000,3698583,100.0,387,"DST=15212,15213;REC=15212"
