nCharged,nChargedNonMuon,nTracks,nTracksNonMuon,totalCharge,sumPtChargedNonMuon,nRecoTracks,visibleEnergy,visiblePx,visiblePy,visiblePz,visiblePt,invMass,recoilMass,totalEnergy,mu1_E,mu1_px,mu1_py,mu1_pz,mu1_pt,mu1_charge,mu2_E,mu2_px,mu2_py,mu2_pz,mu2_pt,mu2_charge,dimuon_px,dimuon_py,dimuon_pz,dimuon_pt,missingEnergy,missingPx,missingPy,missingPz,met,process_id,weight,process_type,process_group
2.0,0.0,2.0,0.0,0.0,0.0,2.0,108.70377,9.000523,6.4930935,-59.76875,11.098184,90.1168,127.55058,108.70377,75.57188,31.282263,-17.041767,-66.64899,35.62305,-1.0,33.131897,-22.28174,23.53486,6.8802376,32.409344,1.0,9.000523,6.4930935,-59.76875,11.098184,141.29623,-9.000523,-6.4930935,59.76875,11.098184,signal,0.0012192587939698495,signal,Signal
2.0,0.0,2.0,0.0,0.0,0.0,2.0,111.04712,47.222763,14.985824,40.415417,49.54356,89.97124,124.47961,110.199295,46.596756,40.78018,-18.480474,-12.91074,44.772213,1.0,63.602543,5.7088146,33.81928,53.562393,34.29773,-1.0,46.489,15.338804,40.651653,48.95412,138.95288,-47.222763,-14.985824,-40.415417,49.54356,signal,0.0012192587939698495,signal,Signal
4.0,2.0,4.0,2.0,0.0,1.0670042e+09,4.0,112.99513,-33.206173,43.825897,27.97682,54.98508,89.48775,127.57332,108.46622,63.21062,-58.041428,4.0925694,24.69832,58.185535,1.0,45.255592,23.888872,38.276615,3.5030491,45.11959,-1.0,-34.152557,42.369186,28.20137,54.420082,137.00487,33.206173,-43.825897,-27.97682,54.98508,signal,0.0012192587939698495,signal,Signal
2.0,0.0,2.0,0.0,0.0,0.0,2.0,120.54953,0.6944363,-18.137836,-2.57547,18.151125,119.147354,128.14574,120.54953,67.59588,4.2154555,-51.588943,-43.474068,51.760883,1.0,52.953648,-3.5210192,33.451107,40.898598,33.635906,-1.0,0.6944363,-18.137836,-2.57547,18.151125,129.45047,-0.6944363,18.137836,2.57547,18.151125,signal,0.0012192587939698495,signal,Signal
2.0,0.0,2.0,0.0,0.0,0.0,2.0,107.85251,9.750203,-32.214622,-45.348415,33.65781,91.8849,130.44762,107.85251,77.41879,-3.828757,-59.0677,-49.899864,59.191658,-1.0,30.433714,13.57896,26.853075,4.551449,30.091125,1.0,9.750203,-32.214622,-45.348415,33.65781,142.14749,-9.750203,32.214622,45.348415,33.65781,signal,0.0012192587939698495,signal,Signal
4.0,2.0,4.0,2.0,2.0,1.06161235e+09,4.0,113.00176,34.39154,10.700274,52.6434,36.01769,91.68237,124.65266,110.73474,62.31702,61.169334,4.2985353,11.100747,61.320183,1.0,48.417725,-27.01089,5.933976,39.74237,27.655022,-1.0,34.158447,10.2325115,50.843117,35.658154,136.99823,-34.39154,-10.700274,-52.6434,36.01769,signal,0.0012192587939698495,signal,Signal
3.0,1.0,3.0,1.0,-1.0,1.0475343e+09,3.0,105.80513,-13.036783,-4.7061744,25.617758,13.860223,92.35106,146.9941,98.84291,41.96862,-33.688282,20.638933,-14.159081,39.507797,1.0,56.87429,20.73186,-25.148748,46.608967,32.592476,-1.0,-12.956423,-4.509815,32.449886,13.718868,144.19487,13.036783,4.7061744,-25.617758,13.860223,signal,0.0012192587939698495,signal,Signal
2.0,0.0,2.0,0.0,0.0,0.0,2.0,107.775024,5.9217157,17.885094,54.51406,18.83994,91.04246,130.00468,107.775024,64.57577,20.799133,51.861828,32.369076,55.877125,1.0,43.199257,-14.877418,-33.976734,22.144987,37.091187,-1.0,5.9217157,17.885094,54.51406,18.83994,142.22498,-5.9217157,-17.885094,-54.51406,18.83994,signal,0.0012192587939698495,signal,Signal
2.0,0.0,2.0,0.0,0.0,0.0,2.0,110.49462,-19.107538,53.312614,-23.75745,56.63332,91.10565,126.51866,109.58653,64.40319,-43.967144,20.353136,-42.431015,48.449562,1.0,45.183346,25.043938,32.525623,18.878567,41.05015,-1.0,-18.923206,52.87876,-23.552448,56.16272,139.50537,19.107538,-53.312614,23.75745,56.63332,signal,0.0012192587939698495,signal,Signal
2.0,0.0,2.0,0.0,0.0,0.0,2.0,111.121956,32.657547,48.03369,-21.645683,58.084,43.5112,195.24849,52.542503,35.77,-27.60274,2.8047283,-22.57644,27.74487,-1.0,16.772503,13.422859,10.054227,0.19187988,16.770826,1.0,-14.17988,12.858955,-22.384562,19.142145,138.87805,-32.657547,-48.03369,21.645683,58.084,signal,0.0012192587939698495,signal,Signal
