ProducedRate,n_prod,n_gen,process_type,pol,process_id,NbEvents,int.lumi(1/fb),Done %,ElogID(s),ProdIDs of DST and REC files,xsect_pb,xsect_error_pb,int_lumi_fb,energy_GeV,source_url
99.96%,6997400,7000000,e1e1h,eL.pL,402013,500000,801943,100.0,348,"DST=15095,15096;REC=15095",0.62348544,0.000474,801943.346,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3409
99.96%,6997400,7000000,e1e1h,eL.pR,402001,500000,28294,100.0,347,"DST=15089,15090;REC=15089",17.671491,0.0228,28294.1604,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3410
99.96%,6997400,7000000,e1e1h,eR.pL,402002,500000,44887,100.0,347,"DST=15089,15090;REC=15089",11.138876,0.0143,44887.8325,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3411
99.96%,6997400,7000000,e1e1h,eR.pR,402014,498800,800018,99.8,348,"DST=15095,15096;REC=15095",0.62348544,0.000474,801943.346,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3412
99.96%,6997400,7000000,e2e2h,eL.pR,402003,500000,29462,100.0,347,"DST=15089,15090;REC=15089",16.970655,0.0138,29462.6224,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3413
99.96%,6997400,7000000,e2e2h,eR.pL,402004,500000,46001,100.0,347,"DST=15089,15090;REC=15089",10.869108,0.00888,46001.935,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3414
99.96%,6997400,7000000,e3e3h,eL.pR,402005,500000,29514,100.0,347,"DST=15089,15090;REC=15089",16.940726,0.0206,29514.6737,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3415
99.96%,6997400,7000000,e3e3h,eR.pL,402006,500000,46110,100.0,347,"DST=15089,15090;REC=15089",10.843428,0.0131,46110.8793,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3416
99.96%,6997400,7000000,n1n1h,eL.pR,402007,499600,8278,99.9,347,"DST=15089,15090;REC=15089",60.350892,0.062,8284.88169,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3417
99.96%,6997400,7000000,n1n1h,eR.pL,402008,499000,23248,99.8,347,"DST=15089,15090;REC=15089",21.464205,0.0295,23294.5967,250,https://ild.ngt.ndu.ac.jp/elog/genmeta/3418
