process_type,pol,process_id,xsect_pb,xsect_error_pb,nGenerated,nSelected,weight
e1e1h,eL.pR,402001,17.671491,0.0228,8400,425,0.525937232142857
e2e2h,eL.pR,402003,16.970655,0.0138,8400,5534,0.5050790178571429
e3e3h,eL.pR,402005,16.940726,0.0206,8400,1119,0.5041882738095239
n1n1h,eL.pR,402007,60.350892,0.062,8400,434,1.7961575
n23n23h,eL.pR,402009,67.110727,0.0634,8400,440,1.9973430654761903
qqh,eL.pR,402011,343.03023,0.437,5600,621,15.31384955357143
e1e1h_aa,eL.pR,402106,0.0401142846,5.1756e-05,10000,0,0.001002857115
e1e1h_az,eL.pR,402107,0.0270373812,3.4884e-05,10000,479,0.0006759345299999999
e1e1h_bb,eL.pR,402101,10.2848078,0.0132696,10000,657,0.25712019499999994
e1e1h_cc,eL.pR,402102,0.51070609,0.00065892,10000,266,0.01276765225
e1e1h_dd,eL.pR,402703,0.000918917532,1.1856e-06,10000,89,2.29729383e-05
e1e1h_e2e2,eL.pR,402109,0.00385238504,4.9704e-06,9600,9423,0.00010032252708333334
e1e1h_e3e3,eL.pR,402108,1.10800249,0.00142956,24600,677,0.011260187906504066
e1e1h_gg,eL.pR,402103,1.44729511,0.00186732,10000,184,0.03618237775
e1e1h_ss,eL.pR,402701,0.00434718679,5.6088e-06,10000,78,0.00010867966974999999
e1e1h_uu,eL.pR,402702,0.000212057892,2.736e-07,10000,88,5.3014473e-06
e1e1h_ww,eL.pR,402104,3.78169907,0.0048792,12800,559,0.0738613099609375
e1e1h_zz,eL.pR,402105,0.462993064,0.00059736,11600,975,0.009978298793103448
e2e2h_aa,eL.pR,402142,0.0385233869,3.1326e-05,9600,9399,0.0010032132005208332
e2e2h_az,eL.pR,402143,0.0259651021,2.1114e-05,9600,7918,0.0006761745338541667
e2e2h_bb,eL.pR,402137,9.87692121,0.0080316,10000,6336,0.24692303025
e2e2h_cc,eL.pR,402138,0.490451929,0.00039882,10000,7476,0.012261298225
e2e2h_dd,eL.pR,402715,0.00088247406,7.176e-07,10000,8660,2.20618515e-05
e2e2h_e2e2,eL.pR,402145,0.00369960279,3.0084e-06,10000,2,9.249006975000001e-05
e2e2h_e3e3,eL.pR,402144,1.06406007,0.00086526,26000,17699,0.010231346826923077
e2e2h_gg,eL.pR,402139,1.38989664,0.00113022,10000,8116,0.034747415999999996
e2e2h_ss,eL.pR,402713,0.00417478113,3.3948e-06,10000,8701,0.00010436952825
e2e2h_uu,eL.pR,402714,0.00020364786,1.656e-07,10000,8654,5.0911965e-06
e2e2h_ww,eL.pR,402140,3.63172017,0.0029532,12800,8311,0.0709320345703125
e2e2h_zz,eL.pR,402141,0.444631161,0.00036156,12800,9414,0.00868420236328125
e3e3h_aa,eL.pR,402160,0.038455448,4.6762e-05,10000,295,0.0009613862000000001
e3e3h_az,eL.pR,402161,0.0259193108,3.1518e-05,10000,877,0.00064798277
e3e3h_bb,eL.pR,402155,9.85950253,0.0119892,10000,1428,0.24648756324999999
e3e3h_cc,eL.pR,402156,0.489586981,0.00059534,10000,1027,0.012239674524999999
e3e3h_dd,eL.pR,402721,0.000880917752,1.0712e-06,10000,615,2.20229438e-05
e3e3h_e2e2,eL.pR,402163,0.00369307827,4.4908e-06,10000,6909,9.232695675e-05
e3e3h_e3e3,eL.pR,402162,1.06218352,0.00129162,25200,2899,0.010537534920634922
e3e3h_gg,eL.pR,402157,1.38744546,0.00168714,10000,780,0.0346861365
e3e3h_ss,eL.pR,402719,0.0041674186,5.0676e-06,10000,592,0.000104185465
e3e3h_uu,eL.pR,402720,0.000203288712,2.472e-07,10000,622,5.0822178000000004e-06
e3e3h_ww,eL.pR,402158,3.62531536,0.0044084,12800,1713,0.070806940625
e3e3h_zz,eL.pR,402159,0.443847021,0.00053972,12800,1547,0.00866888712890625
n1n1h_aa,eL.pR,402178,0.136996525,0.00014074,9600,0,0.003567617838541667
n1n1h_az,eL.pR,402179,0.0923368648,9.486e-05,9600,484,0.002404605854166667
n1n1h_bb,eL.pR,402173,35.1242191,0.036084,10000,669,0.8781054774999999
n1n1h_cc,eL.pR,402174,1.74414078,0.0017918,10000,280,0.0436035195
n1n1h_dd,eL.pR,402727,0.00313824638,3.224e-06,10000,87,7.84561595e-05
n1n1h_e2e2,eL.pR,402181,0.0131564945,1.3516e-05,10000,9801,0.00032891236249999996
n1n1h_e3e3,eL.pR,402180,3.78400093,0.0038874,26000,771,0.036384624326923076
n1n1h_gg,eL.pR,402175,4.94273805,0.0050778,10000,168,0.12356845125
n1n1h_ss,eL.pR,402725,0.0148463194,1.5252e-05,10000,88,0.000371157985
n1n1h_uu,eL.pR,402726,0.000724210704,7.44e-07,10000,81,1.81052676e-05
n1n1h_ww,eL.pR,402176,12.9150909,0.013268,12800,553,0.25224786914062497
n1n1h_zz,eL.pR,402177,1.58119337,0.0016244,12800,1027,0.030882683007812498
n23n23h_aa,eL.pR,402196,0.15234135,0.000143918,9600,2,0.003967222656249999
n23n23h_az,eL.pR,402197,0.102679412,9.7002e-05,9600,461,0.002673943020833333
n23n23h_bb,eL.pR,402191,39.0584431,0.0368988,10000,625,0.9764610774999999
n23n23h_cc,eL.pR,402192,1.93950001,0.00183226,10000,280,0.04848750025
n23n23h_dd,eL.pR,402733,0.0034897578,3.2968e-06,10000,93,8.7243945e-05
n23n23h_e2e2,eL.pR,402199,0.0146301385,1.38212e-05,10000,9815,0.0003657534625
n23n23h_e3e3,eL.pR,402198,4.20784258,0.00397518,26000,748,0.04046002480769231
n23n23h_gg,eL.pR,402193,5.49636854,0.00519246,10000,187,0.1374092135
n23n23h_ss,eL.pR,402731,0.0165092388,1.55964e-05,10000,80,0.00041273096999999996
n23n23h_uu,eL.pR,402732,0.000805328724,7.608e-07,10000,88,2.01332181e-05
n23n23h_ww,eL.pR,402194,14.3616956,0.0135676,11600,510,0.3095193017241379
n23n23h_zz,eL.pR,402195,1.75830105,0.00166108,12800,1044,0.0343418173828125
qqh_aa,eL.pR,402214,0.778678622,0.00099199,10000,196,0.01946696555
qqh_az,eL.pR,402215,0.524836252,0.00066861,10000,733,0.013120906299999999
qqh_bb,eL.pR,402209,199.643594,0.254334,5200,582,9.598249711538463
qqh_cc,eL.pR,402210,9.91357365,0.0126293,4800,309,0.5163319609375
qqh_dd,eL.pR,402739,0.017837572,2.2724e-05,5200,215,0.0008575755769230769
qqh_e2e2,eL.pR,402217,0.0747805901,9.5266e-05,10000,8159,0.0018695147524999999
qqh_e3e3,eL.pR,402216,21.5079954,0.0273999,11600,911,0.46353438362068966
qqh_gg,eL.pR,402211,28.0941758,0.0357903,5200,309,1.3506815288461538
qqh_ss,eL.pR,402737,0.0843854366,0.000107502,5200,214,0.004056992144230769
