process_type,pol,process_id,NbEvents,int.lumi(1/fb),xsect_pb,xsect_error_pb,implied_xsec_fb,xsect_pb_in_fb,diff_if_xsect_pb_used,diff_if_xsect_pb_in_fb,unit_check,nGenerated,nSelected,weight,process_group
e1e1h_aa,eL.pR,402106,100000.0,2492877.0,0.0401142846,5.1756e-05,0.04011429364545463,40.1142846,9.045454628375804e-09,40.074170306354546,xsect_pb seems to be in fb,,,,Exclusive Higgs
e1e1h_az,eL.pR,402107,100000.0,3698583.0,0.0270373812,3.4884e-05,0.027037381613444933,27.0373812,4.1344493453832065e-10,27.010343818386552,xsect_pb seems to be in fb,10000.0,479.0,0.0006759345299999999,Exclusive Higgs
e1e1h_bb,eL.pR,402101,100000.0,9723.0,10.2848078,0.0132696,10.284891494394735,10284.807799999999,8.369439473554507e-05,10274.522908505603,xsect_pb seems to be in fb,10000.0,657.0,0.25712019499999994,Exclusive Higgs
e1e1h_cc,eL.pR,402102,100000.0,195807.0,0.51070609,0.00065892,0.5107069716608701,510.70609,8.816608700890072e-07,510.19538302833917,xsect_pb seems to be in fb,10000.0,266.0,0.01276765225,Exclusive Higgs
e1e1h_dd,eL.pR,402703,99800.0,108606046.0,0.000918917532,1.1856e-06,0.0009189175342963872,0.918917532,2.296387147278367e-12,0.9179986144657036,xsect_pb seems to be in fb,10000.0,89.0,2.29729383e-05,Exclusive Higgs
e1e1h_e2e2,eL.pR,402109,100000.0,25957945.0,0.00385238504,4.9704e-06,0.0038523850790191595,3.85238504,3.9019159431274986e-11,3.848532654920981,xsect_pb seems to be in fb,9600.0,9423.0,0.00010032252708333334,Exclusive Higgs
e1e1h_e3e3,eL.pR,402108,500000.0,451262.0,1.10800249,0.00142956,1.1080037760768688,1108.00249,1.286076868778352e-06,1106.8944862239232,xsect_pb seems to be in fb,24600.0,677.0,0.011260187906504066,Exclusive Higgs
e1e1h_gg,eL.pR,402103,99800.0,68956.0,1.44729511,0.00186732,1.447299727362376,1447.29511,4.617362376002632e-06,1445.8478102726376,xsect_pb seems to be in fb,10000.0,184.0,0.03618237775,Exclusive Higgs
e1e1h_ss,eL.pR,402701,100000.0,23003382.0,0.00434718679,5.6088e-06,0.00434718686147976,4.347186789999999,7.147976047866544e-11,4.342839603138519,xsect_pb seems to be in fb,10000.0,78.0,0.00010867966974999999,Exclusive Higgs
e1e1h_uu,eL.pR,402702,100000.0,471569339.0,0.000212057892,2.736e-07,0.00021205789208445547,0.212057892,8.445547321385416e-14,0.21184583410791555,xsect_pb seems to be in fb,10000.0,88.0,5.3014473e-06,Exclusive Higgs
e1e1h_ww,eL.pR,402104,500000.0,132215.0,3.78169907,0.0048792,3.7817191695344703,3781.69907,2.0099534470130465e-05,3777.9173508304657,xsect_pb seems to be in fb,12800.0,559.0,0.0738613099609375,Exclusive Higgs
e1e1h_zz,eL.pR,402105,500000.0,1079929.0,0.462993064,0.00059736,0.4629934004920694,462.993064,3.3649206937491627e-07,462.53007059950795,xsect_pb seems to be in fb,11600.0,975.0,0.009978298793103448,Exclusive Higgs
e2e2h_aa,eL.pR,402142,100000.0,2595825.0,0.0385233869,3.1326e-05,0.03852339814895072,38.5233869,1.1248950722297923e-08,38.484863501851045,xsect_pb seems to be in fb,9600.0,9399.0,0.0010032132005208332,Exclusive Higgs
e2e2h_az,eL.pR,402143,100000.0,3851323.0,0.0259651021,2.1114e-05,0.02596510342030518,25.965102100000003,1.320305177687775e-09,25.9391369965797,xsect_pb seems to be in fb,9600.0,7918.0,0.0006761745338541667,Exclusive Higgs
e2e2h_bb,eL.pR,402137,100000.0,10124.0,9.87692121,0.0080316,9.877518767285657,9876.92121,0.0005975572856566913,9867.043691232715,xsect_pb seems to be in fb,10000.0,6336.0,0.24692303025,Exclusive Higgs
e2e2h_cc,eL.pR,402138,100000.0,203893.0,0.490451929,0.00039882,0.4904533260092303,490.451929,1.3970092302972859e-06,489.9614756739908,xsect_pb seems to be in fb,10000.0,7476.0,0.012261298225,Exclusive Higgs
e2e2h_dd,eL.pR,402715,100000.0,113317778.0,0.00088247406,7.176e-07,0.0008824740633371755,0.8824740600000001,3.3371754795327724e-12,0.8815915859366629,xsect_pb seems to be in fb,10000.0,8660.0,2.20618515e-05,Exclusive Higgs
e2e2h_e2e2,eL.pR,402145,100000.0,27029928.0,0.00369960279,3.0084e-06,0.0036996028994231876,3.69960279,1.0942318752482638e-10,3.6959031871005767,xsect_pb seems to be in fb,10000.0,2.0,9.249006975000001e-05,Exclusive Higgs
e2e2h_e3e3,eL.pR,402144,500000.0,469898.0,1.06406007,0.00086526,1.0640607110479297,1064.06007,6.410479296281579e-07,1062.996009288952,xsect_pb seems to be in fb,26000.0,17699.0,0.010231346826923077,Exclusive Higgs
e2e2h_gg,eL.pR,402139,100000.0,71947.0,1.38989664,0.00113022,1.3899120185692246,1389.89664,1.537856922473324e-05,1388.5067279814307,xsect_pb seems to be in fb,10000.0,8116.0,0.034747415999999996,Exclusive Higgs
e2e2h_ss,eL.pR,402713,100000.0,23953351.0,0.00417478113,3.3948e-06,0.004174781223721057,4.17478113,9.37210569568192e-11,4.170606348776279,xsect_pb seems to be in fb,10000.0,8701.0,0.00010436952825,Exclusive Higgs
e2e2h_uu,eL.pR,402714,100000.0,491043706.0,0.00020364786,1.656e-07,0.00020364786021715141,0.20364786,2.1715141078522404e-13,0.20344421213978287,xsect_pb seems to be in fb,10000.0,8654.0,5.0911965e-06,Exclusive Higgs
e2e2h_ww,eL.pR,402140,500000.0,137675.0,3.63172017,0.0029532,3.6317414200108953,3631.72017,2.1250010895368376e-05,3628.0884285799893,xsect_pb seems to be in fb,12800.0,8311.0,0.0709320345703125,Exclusive Higgs
e2e2h_zz,eL.pR,402141,500000.0,1124527.0,0.444631161,0.00036156,0.44463138724103557,444.631161,2.262410355724498e-07,444.186529612759,xsect_pb seems to be in fb,12800.0,9414.0,0.00868420236328125,Exclusive Higgs
e3e3h_aa,eL.pR,402160,100000.0,2600411.0,0.038455448,4.6762e-05,0.03845545954081874,38.455448000000004,1.1540818738164926e-08,38.416992540459184,xsect_pb seems to be in fb,10000.0,295.0,0.0009613862000000001,Exclusive Higgs
e3e3h_az,eL.pR,402161,100000.0,3858127.0,0.0259193108,3.1518e-05,0.025919312661299123,25.9193108,1.8612991217747954e-09,25.893391487338704,xsect_pb seems to be in fb,10000.0,877.0,0.00064798277,Exclusive Higgs
e3e3h_bb,eL.pR,402155,100000.0,10142.0,9.85950253,0.0119892,9.859988168014198,9859.50253,0.00048563801419732044,9849.642541831985,xsect_pb seems to be in fb,10000.0,1428.0,0.24648756324999999,Exclusive Higgs
e3e3h_cc,eL.pR,402156,100000.0,204253.0,0.489586981,0.00059534,0.4895888922072136,489.586981,1.9112072136007185e-06,489.09739210779276,xsect_pb seems to be in fb,10000.0,1027.0,0.012239674524999999,Exclusive Higgs
e3e3h_dd,eL.pR,402721,100000.0,113517975.0,0.000880917752,1.0712e-06,0.000880917757738367,0.880917752,5.738367029814451e-12,0.8800368342422616,xsect_pb seems to be in fb,10000.0,615.0,2.20229438e-05,Exclusive Higgs
e3e3h_e2e2,eL.pR,402163,100000.0,27077682.0,0.00369307827,4.4908e-06,0.003693078307072223,3.69307827,3.7072222895673246e-11,3.689385191692928,xsect_pb seems to be in fb,10000.0,6909.0,9.232695675e-05,Exclusive Higgs
e3e3h_e3e3,eL.pR,402162,500000.0,470728.0,1.06218352,0.00129162,1.0621845311942353,1062.18352,1.011194235234214e-06,1061.121335468806,xsect_pb seems to be in fb,25200.0,2899.0,0.010537534920634922,Exclusive Higgs
e3e3h_gg,eL.pR,402157,100000.0,72074.0,1.38744546,0.00168714,1.3874628853678164,1387.44546,1.7425367816459314e-05,1386.0579971146321,xsect_pb seems to be in fb,10000.0,780.0,0.0346861365,Exclusive Higgs
e3e3h_ss,eL.pR,402719,100000.0,23995669.0,0.0041674186,5.0676e-06,0.004167418712101754,4.1674186,1.121017540947622e-10,4.163251181287898,xsect_pb seems to be in fb,10000.0,592.0,0.000104185465,Exclusive Higgs
e3e3h_uu,eL.pR,402720,100000.0,491911228.0,0.000203288712,2.472e-07,0.00020328871208444952,0.203288712,8.444951010190549e-14,0.20308542328791557,xsect_pb seems to be in fb,10000.0,622.0,5.0822178000000004e-06,Exclusive Higgs
